name,host,p,a,m,rp,g,dp,T,teff,ms,rs,logg,met,ref,pe,ae+,ae-,me+,me-,rpe+,rpe-,ge+,ge-,dpe+,dpe-,Te+,Te-,teffe+,teffe-,mse+,mse-,rse+,rse-,logge+,logge-,mete+,mete-,rpe,me,rpe%,me%,dpe,fp,fpe,fpe+,fpe-,Te,rse,mse,teffe,Host type,Likely nature,wwprob_migrationA_photev,wwprob_migrationB_photev,wwprob_migrationB_impact,namealt,sp
Kepler-24 c,Kepler-024,12.33336,0.106517153,9.979437374,2.516976236,,0.625847773,,5897,1.06,1.099,4.2,-0.37,2023A+A...669A.117L,0.000119,0.006933664,0.006933664,2.002243804,1.65264568,0.097626809,0.097626809,,,0.117148548,0.117148548,,,219,219,0.069,0.069,0.039,0.039,0.15,0.15,0.1,0.1,0.097626809,1.827444742,3.878733839,18.31210191,0.117148548,1.351607058,0.25299891,0.25299891,0.25299891,,0.039,0.069,219,G,gas-rich,"(34.4, 24.8)","(31.7, 19.6)","(43.0, 18.4)",,
Kepler-30 b,Kepler-030,29.2187,0.18479,9.184896182,3.759193219,,0.130600399,,5498,0.99,0.95,4.77,0.18,2018MNRAS.478.2480P,0.0009,4.00E-05,4.00E-05,0.095344943,0.095344943,0.179543557,0.179543557,,,0.019952839,0.019952839,,,54,54,0.08,0.08,0.12,0.12,0.23,0.23,0.27,0.27,0.179543557,0.095344943,4.776119403,1.038062284,0.019952839,2.064449721,0.100902585,0.100902585,0.100902585,,0.12,0.08,54,G,gas-rich,"(59.7, 5.3)","(80.5, 5.9)","(83.0, 2.9)",,
Kepler-33 e,Kepler-033,31.7852,0.212,6.610582719,3.545985246,,0.108833666,,5947,1.26,1.66,,0.14,2022AJ....164..242S,0.0002,0.001,0.004,1.112357669,0.985231078,0.089771778,0.089771778,,,0.018138944,0.018138944,,,60,60,0.03,0.06,0.03,0.03,,,0.04,0.04,0.089771778,1.048794374,2.53164557,15.86538462,0.018138944,2.128386556,0.341948771,0.341948771,0.341948771,,0.03,0.045,60,G,gas-rich,"(61.3, 8.8)","(81.7, 8.1)","(85.3, 3.6)",,
Kepler-33 f,Kepler-033,41.0274,0.252,8.199665104,3.961179721,,0.090694722,,5947,1.26,1.66,,0.14,2022AJ....164..242S,0.0002,0.002,0.004,1.589082384,1.207702612,0.089771778,0.089771778,,,0.018138944,0.018138944,,,60,60,0.03,0.06,0.03,0.03,,,0.04,0.04,0.089771778,1.398392498,2.266288952,17.05426357,0.018138944,2.243120601,0.385910611,0.385910611,0.385910611,,0.03,0.045,60,G,gas-rich,"(64.0, 8.4)","(88.0, 6.9)","(88.8, 4.2)",,
Kepler-36 b,Kepler-036,13.83989,0.1153,4.322304086,1.491333668,18.3,1.01940867,978,5911,1.071,1.626,4.045,-0.2,2012Sci...337..556C,0.00071,0.0015,0.0015,0.190689886,0.190689886,0.034786564,0.034786564,1.7,1.3,0.101578088,0.079811355,11,11,66,66,0.043,0.043,0.019,0.019,0.009,0.009,0.06,0.06,0.034786564,0.190689886,2.332580888,4.411764706,0.090694722,1.004060476,0.050107146,0.050107146,0.050107146,11,0.019,0.043,66,G,bare rocky,"(5.4, 10.7)","(3.6, 8.7)","(5.8, 9.7)",,
Kepler-36 c,Kepler-036,16.23855,0.1283,7.850066979,3.684009355,5.62,0.121530927,928,5911,1.071,1.626,4.045,-0.2,2012ApJ...755L..21D,0.00046,0.0016,0.0016,0.349598125,0.349598125,0.056107361,0.056107361,0.42,0.28,0.009069472,0.007255578,10,10,66,66,0.043,0.043,0.019,0.019,0.009,0.009,0.06,0.06,0.056107361,0.349598125,1.522997259,4.453441296,0.008162525,2.110877637,0.09935186,0.09935186,0.09935186,10,0.019,0.043,66,G,gas-rich,"(45.2, 7.6)","(56.7, 10.7)","(60.9, 5.2)",,
Kepler-60 b,Kepler-060,7.13285,0.07555437,5.243971869,1.890818082,,0.775730939,,6024,1.131,1.434,,0.02,2023A+A...669A.117L,0.0001,0.005477859,0.005477859,0.444943068,0.444943068,0.061718098,0.06059595,,,0.070439673,0.070439673,,,113,113,0.082,0.082,0.039,0.039,,,0.03,0.03,0.061157024,0.444943068,3.234421365,8.484848485,0.070439673,1.208222582,0.109711757,0.109711757,0.109711757,,0.039,0.082,113,G,bare water,"(33.2, 30.5)","(25.8, 25.7)","(23.4, 15.9)",,
Kepler-60 c,Kepler-060,8.91888,0.087691549,3.84557937,2.051285136,,0.445536902,,6024,1.131,1.434,,0.02,2023A+A...669A.117L,7.00E-05,0.006357831,0.006357831,0.381379772,0.41316142,0.066206687,0.066206687,,,0.048220611,0.048220611,,,113,113,0.082,0.082,0.039,0.039,,,0.03,0.03,0.066206687,0.397270596,3.227571116,10.33057851,0.048220611,1.425372104,0.154268509,0.154268509,0.154268509,,0.039,0.082,113,G,gas-rich,"(22.9, 16.9)","(28.8, 17.9)","(33.0, 9.4)",,
Kepler-60 d,Kepler-060,11.89889,0.106272727,4.385867381,2.513609794,,0.276160726,,6024,1.131,1.434,,0.02,2023A+A...669A.117L,0.0002,0.007705008,0.007705008,0.444943068,0.444943068,0.09313822,0.092016073,,,0.029805446,0.029805446,,,113,113,0.082,0.082,0.039,0.039,,,0.03,0.03,0.092577146,0.444943068,3.683035714,10.14492754,0.029805446,1.685657541,0.181929471,0.181929471,0.181929471,,0.039,0.082,113,G,gas-rich,"(34.2, 13.1)","(39.9, 9.0)","(45.7, 4.5)",,
Kepler-65 d,Kepler-065,8.13167,0.084,4.1316142,1.526120232,,0.779974605,,6211,1.248,1.437,4.232,0.17,2019AJ....157..145M,0.00023,0.006,0.002,0.953449431,0.953449431,0.044885889,0.044885889,,,0.163250499,0.163250499,,,66,66,0.018,0.021,0.032,0.027,0.006,0.006,0.06,0.06,0.044885889,0.953449431,2.941176471,23.07692308,0.163250499,1.040087545,0.241961764,0.241961764,0.241961764,,0.0295,0.0195,66,G,bare rocky,"(22.4, 25.4)","(21.9, 23.2)","(17.5, 15.1)",,
Kepler-93 b,Kepler-093,4.72673978,0.053,4.004487609,1.480112196,18.2,0.94141121,1037,5669,0.919,0.911,4.47,-0.18,2015ApJ...800..135D,9.70E-07,0.002,0.002,0.667414601,0.667414601,0.019076503,0.019076503,3.2,2.7,0.161436604,0.161436604,13,13,75,75,0.011,0.011,0.033,0.033,0.004,0.004,0.1,0.1,0.019076503,0.667414601,1.288855193,16.66666667,0.161436604,1.017288439,0.170054277,0.170054277,0.170054277,13,0.033,0.011,75,G,bare rocky,"(7.3, 15.1)","(3.5, 8.0)","(2.6, 2.2)",,
Kepler-95 b,Kepler-095,11.5230758,0.102435428,13.03047555,3.42254905,,0.233992382,,5699,1.08,1.41,4.171,0.3,2014ApJS..210...20M,9.10E-07,0.00758781,0.00758781,2.860348292,2.860348292,0.089771778,0.089771778,,,0.050789044,0.050789044,,,74,74,0.08,0.08,0.04,0.04,0.04,0.04,0.1,0.1,0.089771778,2.860348292,2.62295082,21.95121951,0.050789044,1.710051023,0.378047346,0.378047346,0.378047346,,0.04,0.08,74,G,gas-rich,"(35.9, 19.5)","(37.3, 16.5)","(43.9, 15.2)",,
Kepler-105 c,Kepler-105,7.125939,0.071515337,4.608338915,1.312912259,,1.523671322,,5827,0.961,0.894,,0.011,2016ApJ...820...39J,1.70E-05,0.003423211,0.003423211,0.921667783,0.889886135,0.067328834,0.067328834,,,0.417195719,0.344639942,,,94,94,0.046,0.046,0.044,0.044,,,0.003,0.003,0.067328834,0.905776959,5.128205128,19.65517241,0.380917831,0.868759119,0.176472392,0.176472392,0.176472392,,0.044,0.046,94,G,bare rocky,"(8.0, 15.6)","(7.2, 11.8)","(7.5, 5.5)",,
Kepler-107 c,Kepler-107,4.901452,0.06064,9.375586068,1.599059802,,1.72319971,1379,5854,1.238,1.447,4.21,0.321,2019NatAs...3..416B,1.00E-05,0.00047,0.00047,1.779772271,1.779772271,0.025809386,0.025809386,,,0.326500998,0.326500998,17,17,61,61,0.029,0.029,0.014,0.014,0.013,0.013,0.065,0.065,0.025809386,1.779772271,1.614035088,18.98305085,0.326500998,0.873297926,0.166376739,0.166376739,0.166376739,17,0.014,0.029,61,G,bare rocky,"(4.0, 11.8)","(3.4, 9.8)","(2.2, 2.1)",,
Kepler-128 b,Kepler-128,15.090015,0.127,3.782016075,1.422882687,,1.312852952,970,6072,1.184,1.659,4.071,-0.09,2023A+A...669A.117L,0.000233,0.004,0.004,0.762759545,0.667414601,0.0403973,0.0403973,,,0.251011347,0.251011347,64,64,75,75,0.074,0.074,0.038,0.038,0.047,0.047,0.1,0.1,0.0403973,0.715087073,2.839116719,18.90756303,0.251011347,0.993179264,0.189891232,0.189891232,0.189891232,64,0.038,0.074,75,G,bare rocky,"(27.1, 29.1)","(32.8, 35.2)","(28.3, 23.2)",,
Kepler-128 c,Kepler-128,22.802603,0.167,3.368854655,1.522753791,,0.954098486,843,6072,1.184,1.659,4.071,-0.09,2023A+A...669A.117L,0.000338,0.005,0.005,0.667414601,0.603851306,0.047130184,0.047130184,,,0.182424526,0.182424526,54,54,75,75,0.074,0.074,0.038,0.038,0.047,0.047,0.1,0.1,0.047130184,0.635632954,3.095062638,18.86792453,0.182424526,1.096647145,0.209679963,0.209679963,0.209679963,54,0.038,0.074,75,G,bare rocky,"(34.5, 30.8)","(35.8, 37.4)","(45.5, 32.2)",,
Kepler-223 b,Kepler-223,7.38449,0.077184098,7.405123912,2.996133103,,0.210411754,,5821,1.125,1.72,4.07,-0.06,2016Natur.533..509M,0.00022,0.006449161,0.006449161,1.303047555,1.112357669,0.179543557,0.269315335,,,0.085253038,0.047342645,,,123,123,0.094,0.094,0.07,0.14,0.096,0.096,0.047,0.047,0.224429446,1.207702612,7.490636704,16.30901288,0.066297841,1.744023631,0.312999304,0.312999304,0.312999304,,0.105,0.094,123,G,gas-rich,"(23.0, 12.9)","(21.5, 13.9)","(26.7, 10.4)",,
Kepler-289 c,Kepler-289,66.0282,0.33,5.339316812,3.02979752,,0.155994921,,5990,1.08,1,4.47,0.065,2023AJ....165...48G,0.000821209,0.02,0.02,0.444943068,0.41316142,0.078550306,0.078550306,,,0.012697261,0.012697261,,,38,38,0.02,0.02,0.02,0.02,0.01,0.01,0.04,0.04,0.078550306,0.429052244,2.592592593,8.035714286,0.012697261,1.926619056,0.162675846,0.162675846,0.162675846,,0.02,0.02,38,G,gas-rich,"(66.3, 6.0)","(93.7, 3.0)","(89.8, 5.4)",,
Kepler-307 b,Kepler-307,10.415728,0.090349449,7.436905559,2.435059488,,0.51506678,,5367,0.907,0.814,,0.028,2016ApJ...820...39J,1.80E-05,0.003386859,0.003386859,0.921667783,0.858104488,0.089771778,0.089771778,,,0.064490792,0.064490792,,,94,94,0.034,0.034,0.024,0.024,,,0.017,0.017,0.089771778,0.889886135,3.686635945,11.96581197,0.064490792,1.415787756,0.177268806,0.177268806,0.177268806,,0.024,0.034,94,G,gas-rich,"(38.9, 27.5)","(32.6, 15.5)","(42.7, 16.9)",,
Kepler-307 c,Kepler-307,13.084194,0.105187404,3.654889484,2.19940857,,0.343523546,,5367,0.907,0.814,,0.028,2016ApJ...820...39J,3.30E-05,0.003943078,0.003943078,0.667414601,0.572069658,0.067328834,0.067328834,,,0.059191283,0.059191283,,,94,94,0.034,0.034,0.024,0.024,,,0.017,0.017,0.067328834,0.61974213,3.06122449,16.95652174,0.059191283,1.549450611,0.266980153,0.266980153,0.266980153,,0.024,0.034,94,G,gas-rich,"(33.1, 18.5)","(40.7, 17.1)","(47.6, 4.6)",,
Kepler-406 b,Kepler-406,2.4263068,0.036142794,6.356329538,1.436348454,,1.616179938,,5538,1.07,1.07,4.409,0.18,2014ApJS..210...20M,1.30E-06,0.002026699,0.002026699,1.271265908,1.271265908,0.033664417,0.033664417,,,0.370034464,0.370034464,,,74,74,0.06,0.06,0.02,0.02,0.02,0.02,0.07,0.07,0.033664417,1.271265908,2.34375,20,0.370034464,0.871318628,0.17545622,0.17545622,0.17545622,,0.02,0.06,74,G,bare rocky,"(0.1, 0.4)","(0.0, 0.8)","(0.2, 0.2)",,
Kepler-454 b,Kepler-454,10.5737534,0.0954,6.801272605,2.367730655,,0.512381324,,5687,1.028,1.066,4.395,0.32,2016ApJ...816...95G,7.80E-06,0.0012,0.0012,1.398392498,1.398392498,0.134657668,0.134657668,,,0.109305316,0.109305316,,,50,50,0.04,0.03,0.012,0.012,0.077,0.055,0.08,0.08,0.134657668,1.398392498,5.687203791,20.56074766,0.109305316,1.410288366,0.300854088,0.300854088,0.300854088,,0.012,0.035,50,G,gas-rich,"(29.7, 24.2)","(36.8, 22.5)","(36.4, 17.5)",,
Kepler-538 b,Kepler-538,81.73798,0.4669,10.58328868,2.217362926,,0.743696717,380,5547,0.892,0.8717,4.51,-0.03,2019AJ....158..165M,7.30E-05,0.0087,0.009,2.510750167,2.383623577,0.0403973,0.033664417,,,0.181389443,0.181389443,,,50,50,0.051,0.035,0.0064,0.0061,0.1,0.1,0.08,0.08,0.037030859,2.447186872,1.670040486,23.12312312,0.181389443,1.171958637,0.271699308,0.271699308,0.271699308,,0.00625,0.043,50,G,gas-rich,"(54.7, 18.0)","(87.5, 17.5)","(91.8, 13.2)",,
Kepler-1705 b,Kepler-1705,9.03502,0.088659235,4.481212324,2.031086486,,0.406312353,,6312,1.139,1.259,4.298,-0.2,2021A+A...655A..66L,0.00065,0.006538524,0.006538524,0.476724715,0.444943068,0.123436195,0.134657668,,,0.090694722,0.074369672,,,215,152,0.087,0.081,0.032,0.051,0.043,0.047,0.15,0.15,0.129046931,0.460833891,6.35359116,10.28368794,0.082532197,1.354177435,0.163694433,0.163694433,0.163694433,,0.0415,0.084,183.5,G,gas-rich,"(26.5, 22.3)","(32.2, 22.2)","(30.6, 9.9)",,
Kepler-1705 c,Kepler-1705,11.28,0.102796256,5.402880107,2.05352943,,0.480682024,,6312,1.139,1.259,4.298,-0.2,2021A+A...655A..66L,0.001,0.007581117,0.007581117,0.603851306,0.476724715,0.14587914,0.14587914,,,0.112461455,0.090694722,,,215,152,0.087,0.081,0.032,0.051,0.043,0.047,0.15,0.15,0.14587914,0.540288011,7.103825137,10,0.101578088,1.301649588,0.159665419,0.159665419,0.159665419,,0.0415,0.084,183.5,G,bare water,"(46.0, 29.2)","(34.8, 23.7)","(47.1, 23.5)",,
TOI-125 b,TOI-125,4.65382,0.05186,9.502712659,2.729062062,13.5,0.35189552,1037,5320,0.859,0.848,4.516,-0.02,2020MNRAS.492.5399N,0.00032,0.00086,0.00087,0.889886135,0.889886135,0.075183864,0.075183864,1.4,1.3,0.045347361,0.045347361,11,11,39,39,0.044,0.038,0.011,0.011,0.024,0.024,0.03,0.03,0.075183864,0.889886135,2.754934211,9.364548495,0.045347361,1.485013076,0.144957687,0.144957687,0.144957687,11,0.011,0.041,39,G,gas-rich,"(7.2, 13.4)","(4.2, 7.5)","(5.8, 2.6)",,
TOI-125 c,TOI-125,9.15059,0.0814,6.642364367,2.760482185,8.5,0.235806276,828,5320,0.859,0.848,4.516,-0.02,2020MNRAS.492.5399N,0.00076,0.0013,0.0013,0.985231078,0.985231078,0.100993251,0.100993251,1.4,1.4,0.045347361,0.045347361,9,9,39,39,0.044,0.038,0.011,0.011,0.024,0.024,0.03,0.03,0.100993251,0.985231078,3.658536585,14.83253589,0.045347361,1.654762124,0.252799245,0.252799245,0.252799245,9,0.011,0.041,39,G,gas-rich,"(26.2, 9.9)","(31.9, 14.5)","(36.0, 6.0)",,
TOI-125 d,TOI-125,19.98,0.137,13.60254521,2.928804269,15.6,0.408126247,638,5320,0.859,0.848,4.516,-0.02,2020MNRAS.492.5399N,0.002556715,0.0022,0.0022,1.207702612,1.207702612,0.168322084,0.168322084,2.5,2.1,0.088880827,0.070741883,7,7,39,39,0.044,0.038,0.011,0.011,0.024,0.024,0.03,0.03,0.168322084,1.207702612,5.747126437,8.878504673,0.079811355,1.446460296,0.152981423,0.152981423,0.152981423,7,0.011,0.041,39,G,gas-rich,"(42.8, 17.7)","(54.3, 15.1)","(66.3, 13.2)",,
TOI-130 b,TOI-130,14.33916,0.12,7.786503684,2.457502433,12.6,0.399056775,943,6203,1.126,1.194,4.5,-0.12,2021A+A...648A..75S,5.00E-05,0.001,0.001,1.398392498,1.303047555,0.044885889,0.044885889,2.4,2.3,0.072555777,0.072555777,12,12,64,64,0.035,0.036,0.016,0.017,0.11,0.11,0.04,0.04,0.044885889,1.350720027,1.826484018,17.34693878,0.072555777,1.411206538,0.246154362,0.246154362,0.246154362,12,0.0165,0.0355,64,G,gas-rich,"(36.0, 26.0)","(38.8, 23.1)","(43.8, 17.1)",,
TOI-132 b,TOI-132,2.1097008,0.026,22.78744139,3.433770523,,0.424451297,1384,5397,0.97,0.9,4.48,0.16,2020MNRAS.493..973D,1.20E-06,0.002,0.003,1.811553918,1.811553918,0.134657668,0.134657668,,,0.059858516,0.061672411,53,75,46,46,0.06,0.06,0.02,0.02,0.23,0.23,0.1,0.1,0.134657668,1.811553918,3.921568627,7.949790795,0.060765463,1.475117179,0.130760526,0.130760526,0.130760526,64,0.02,0.06,46,G,gas-rich,"(0.1, 0.4)","(0.0, 0.1)","(0.1, 0.1)",,
TOI-220 b,TOI-220,10.695264,0.0892,13.7932351,3.02979752,,0.373662253,805,5298,0.825,0.858,4.37,-0.19,2021MNRAS.505.3361H,8.60E-05,0.001,0.001,0.985231078,0.985231078,0.14587914,0.14587914,,,0.063486305,0.063486305,21,21,65,65,0.028,0.028,0.032,0.032,0.11,0.11,0.05,0.05,0.14587914,0.985231078,4.814814815,7.142857143,0.063486305,1.490718807,0.128412122,0.128412122,0.128412122,21,0.032,0.028,65,G,gas-rich,"(26.9, 11.3)","(33.7, 12.6)","(41.8, 8.8)",,
TOI-421 c,TOI-421,5.19676,0.0557,7.055525787,2.726817768,,0.263014693,1015,5325,0.852,0.871,4.486,-0.02,2020AJ....160..114C,0.00049,0.0012,0.0013,0.699196249,0.699196249,0.190765029,0.190765029,,,0.067114094,0.052602939,18,18,78,58,0.029,0.021,0.012,0.012,0.025,0.018,0.05,0.05,0.190765029,0.699196249,6.995884774,9.90990991,0.059858516,1.608139981,0.195075214,0.195075214,0.195075214,18,0.012,0.025,68,G,gas-rich,"(7.8, 6.1)","(6.8, 6.3)","(9.3, 3.5)",,
TOI-561 b,TOI-561,0.4465688,0.0106,2.224715338,1.426249129,,0.518773807,2310,5372,0.806,0.843,4.47,-0.4,2022MNRAS.511.4551L,8.00E-07,0.0001,0.0001,0.190689886,0.190689886,0.037030859,0.037030859,,,0.074369672,0.074369672,33,33,70,70,0.036,0.036,0.005,0.005,0.01,0.01,0.05,0.05,0.037030859,0.190689886,2.596380803,8.571428571,0.074369672,1.149046047,0.102908978,0.102908978,0.102908978,33,0.005,0.036,70,G,bare rocky,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)",,
TOI-561 c,TOI-561,10.778831,0.0884,6.578801072,2.917582797,,0.165064393,800,5372,0.806,0.843,4.47,-0.4,2022MNRAS.511.4551L,3.50E-05,0.0009,0.0009,0.730977897,0.730977897,0.033664417,0.033664417,,,0.021766733,0.021766733,11,11,70,70,0.036,0.036,0.005,0.005,0.01,0.01,0.05,0.05,0.033664417,0.730977897,1.153846154,11.11111111,0.021766733,1.753486575,0.19587956,0.19587956,0.19587956,11,0.005,0.036,70,G,gas-rich,"(31.8, 10.2)","(38.5, 10.4)","(43.5, 4.6)",,
TOI-561 d,TOI-561,25.7124,0.158,12.14058942,2.827811019,,0.442590241,598,5372,0.806,0.843,4.47,-0.4,2022MNRAS.511.4551L,0.0002,0.002,0.002,1.112357669,1.112357669,0.067328834,0.067328834,,,0.045347361,0.045347361,9,9,70,70,0.036,0.036,0.005,0.005,0.01,0.01,0.05,0.05,0.067328834,1.112357669,2.380952381,9.162303665,0.045347361,1.440166174,0.136334944,0.136334944,0.136334944,9,0.005,0.036,70,G,gas-rich,"(50.1, 18.3)","(69.1, 13.9)","(76.1, 6.7)",,
TOI-561 e,TOI-561,77.03,0.328,13.60254521,2.547274211,,0.571376746,415,5372,0.806,0.843,4.47,-0.4,2022MNRAS.511.4551L,0.296666667,0.003,0.003,1.398392498,1.398392498,0.123436195,0.134657668,,,0.105205877,0.105205877,6,6,70,70,0.036,0.036,0.005,0.005,0.01,0.01,0.05,0.05,0.129046931,1.398392498,5.066079295,10.28037383,0.105205877,1.258032518,0.144181309,0.144181309,0.144181309,6,0.005,0.036,70,G,gas-rich,"(52.2, 14.3)","(89.0, 16.7)","(80.5, 30.7)",,
TOI-849 b,TOI-849,0.765524,0.01598,40.68050904,3.456213467,,0.761835661,,5375,0.929,0.919,4.48,0.19,2020Natur.583...39A,2.70E-06,0.00013,0.00013,2.542531815,2.542531815,0.168322084,0.123436195,,,0.108833666,0.108833666,,,42,41,0.023,0.023,0.31,0.022,0.03,0.04,0.03,0.03,0.14587914,2.542531815,4.220779221,6.25,0.108833666,1.269495795,0.095741765,0.095741765,0.095741765,,0.166,0.023,41.5,G,gas-rich,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)",,
TOI-1062 b,TOI-1062,4.11412,0.052,10.17012726,2.266737404,,0.663885362,1077,5328,0.94,0.84,4.55,0.14,2021A+A...653A.105O,0.000755655,0.023,0.025,0.82632284,0.858104488,0.095382515,0.090893926,,,0.116089244,0.101578088,10,9,56,56,0.02,0.02,0.09,0.09,0.09,0.09,0.04,0.04,0.09313822,0.842213664,4.108910891,8.28125,0.108833666,1.211018663,0.111953583,0.111953583,0.111953583,9.5,0.09,0.02,56,G,gas-rich,"(16.5, 20.9)","(4.7, 10.0)","(2.6, 1.7)",,
TOI-1422 b,TOI-1422,12.9972,0.108,8.994206296,3.961179721,5.6,0.108833666,867,5840,0.981,1.019,4.41,-0.09,2022A+A...667A...8N,0.0006,0.003,0.003,2.288278634,2.002243804,0.134657668,0.112214723,1.1,1.5,0.038091783,0.0326501,17,17,62,62,0.062,0.065,0.014,0.013,0.11,0.11,0.07,0.07,0.123436195,2.145261219,3.116147309,23.85159011,0.035370941,2.187745258,0.526246524,0.526246524,0.526246524,17,0.0135,0.0635,62,G,gas-rich,"(45.5, 20.1)","(51.4, 23.6)","(49.2, 10.9)",,
TOI-1444 b,TOI-1444,0.4702694,0.011568492,3.84557937,1.398195448,,1.406883472,,5430,0.934,0.907,4.49,0.13,2021AJ....162...62D,4.40E-06,0.000470667,0.000470667,0.699196249,0.699196249,0.063962392,0.063962392,,,0.26376939,0.26376939,,,90,90,0.038,0.038,0.016,0.016,0.03,0.03,0.06,0.06,0.063962392,0.699196249,4.574638844,18.18181818,0.26376939,0.971561073,0.182153019,0.182153019,0.182153019,,0.016,0.038,90,G,bare rocky,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)",,
TOI-2000 b,TOI-2000,3.098331,0.0426,10.29725385,2.648267462,,0.419009614,1475,5607,1.074,1.113,4.576,0.438,arXiv:2209.14396,2.00E-05,0.00076,0.00067,2.224715338,2.224715338,0.112214723,0.123436195,,,0.114275349,0.097950299,120,158,86,82,0.059,0.05,0.011,0.011,0.026,0.023,0.041,0.042,0.117825459,2.224715338,4.449152542,21.60493827,0.106112824,1.41011117,0.311046462,0.311046462,0.311046462,139,0.011,0.0545,84,G,gas-rich,"(4.5, 8.7)","(0.4, 1.0)","(0.9, 0.7)",,
WASP-47 c,WASP-047,0.7895933,0.01688,8.994206296,1.810023481,20.5,0.85978596,,5576,1.058,1.156,4.3437,0.36,arXiv:2302.01352,4.40E-06,0.00017,0.00017,0.508506363,0.508506363,0.025809386,0.025809386,2,2,0.081625249,0.081625249,,,67,67,0.047,0.047,0.009,0.009,0.0063,0.0063,0.05,0.05,0.025809386,0.508506363,1.425914445,5.653710247,0.081625249,0.999669434,0.058288248,0.058288248,0.058288248,,0.009,0.047,67,G,bare rocky,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)",,
WASP-47 d,WASP-047,9.03055,0.08609,15.50944407,3.570672485,10.1,0.235806276,,5576,1.058,1.156,4.3437,0.36,arXiv:2302.01352,8.00E-05,0.00087,0.00087,0.794541192,0.794541192,0.044885889,0.044885889,1.1,1.1,0.023580628,0.023580628,,,67,67,0.047,0.047,0.009,0.009,0.0063,0.0063,0.05,0.05,0.044885889,0.794541192,1.257071025,5.12295082,0.023580628,1.702030161,0.089780845,0.089780845,0.089780845,,0.009,0.047,67,G,gas-rich,"(27.4, 8.0)","(31.5, 9.4)","(36.3, 5.0)",,
HD 307842 b,HD 307842,2.7970365,0.038,9.661620898,1.930093235,,1.015780882,,5558,0.91,0.907,4.48,-0.13,2023AJ....166...32H,3.10E-06,0.001,0.001,0.82632284,0.82632284,0.112214723,0.089771778,,,0.199528387,0.163250499,,,100,100,0.1,0.1,0.017,0.017,0.1,0.1,0.08,0.08,0.100993251,0.82632284,5.23255814,8.552631579,0.181389443,1.045559039,0.104831136,0.104831136,0.104831136,,0.017,0.1,100,G,bare rocky,"(2.3, 4.8)","(0.2, 0.8)","(0.3, 0.4)"
